122.274356,"FMSInfo",null,0,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.082753,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.062601,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1700000000000002;2.1699999999999964;0.16],1.1700000000000002,2.1699999999999964,0.16,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.082944,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1700000000000002;2.1699999999999964;0.17],1.1700000000000002,2.1699999999999964,0.17,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.102678,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1800000000000002;2.1699999999999964;0.17],1.1800000000000002,2.1699999999999964,0.17,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.122724,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1800000000000002;2.179999999999996;0.17],1.1800000000000002,2.179999999999996,0.17,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.142657,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1800000000000002;2.179999999999996;0.18000000000000002],1.1800000000000002,2.179999999999996,0.18000000000000002,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.162653,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1900000000000002;2.179999999999996;0.18000000000000002],1.1900000000000002,2.179999999999996,0.18000000000000002,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.183211,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1900000000000002;2.189999999999996;0.18000000000000002],1.1900000000000002,2.189999999999996,0.18000000000000002,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.202873,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1900000000000002;2.189999999999996;0.19000000000000003],1.1900000000000002,2.189999999999996,0.19000000000000003,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.222979,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2000000000000002;2.189999999999996;0.19000000000000003],1.2000000000000002,2.189999999999996,0.19000000000000003,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.24312,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.2000000000000002;2.1999999999999957;0.19000000000000003],1.2000000000000002,2.1999999999999957,0.19000000000000003,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
